questions,classes
变相裁员如何维护权益——用人单位要裁员，但不以裁员的名义，而是找员工谈话，说单位人员优化，这个岗位被优化掉了，员工要么被安排到别的岗位，要么去集团内（跟现工作地点不在一起）其他单位，要么就走人。像这种情况下，员工如果选择离职，要怎么搜集证据才能要求用人单位支付经济补偿金或违法解除劳动合同赔偿金？,辞退解雇
不写工作地点再派遣合同吗——A公司下有B、C俩分公司，劳动者与用人单位B签署的劳动合同里没写工作地点，然后单位将员工派至C，员工因为家庭在B公司这边，不愿意去，B公司就让员工离职合法吗？员工能得到B公司违法解除劳动合同的赔偿金吗？,劳动合同
长期临时工的合法权益怎么争取——我母亲2005年在农村信用社食堂做饭，一直没有签合同，知道2016年，单位为了应付上级检查和我母亲签了一年的对外承包合同，实际上每个月还给我母亲发工资，不是对外承包，2017年也是这个情况，今年10月份信用社以我母亲年龄大为由辞退我母亲，现在我想要求信用社给我母亲补缴之前和之后的养老保险，我想咨询下，这样的要求合理吗？我还能为我母亲争取到哪些合法的权益？怎么争取？,辞退解雇
前公司漏交社保一个月——在上一家公司于2017年5月份离职，起初开始扣社保的钱的时候说会提前扣，离职顺延一个月，但是离职数月后查了一下实际是少给我交了，但是现在又在异地，跟前公司人事沟通无效，我又因为离得太远，偏远地区去一趟不容易，想着明年旅游旺季再过去找当地法律仲裁能行么？时隔一年的员工漏交还能补交吗？而且我现在上班的公司马上要开始交社保了，明天去的时候肯定也还是交着的，这样冲撞着碍事儿吗？我应该怎么办,劳动保险
在本人不知情的情况下，被挂职到一家公司——1.此情况是否违反法律法规？2有没有途径可以自己查询在该公司挂职3.该情况会不会影响我在上班单位签的劳动合同,劳动合同
老板拖欠工资——在没有劳动合同的前提下，老板拖欠工资不给。我应该用什么手段讨要工资,员工权益
劳动争议——尊敬的律师您好！我是一个打工者，在一个部队对外酒店，工作了将近7年的时间，酒店没有上任何保险，但让员工签了一份自愿不上保险协议书，劳动合同是2015年和2016年补签的两份。新上任总经理也是部队调过来的军人，总经理安排了自己的亲戚朋友，顶替了我主管位置，工作中故意刁难我，找员工作伪证，污蔑我，给我调岗降薪降职，逼我离职，我为了维护我的公平正义，起诉到了劳动仲裁，后因劳动合同上的上的地址和法人，找不到，劳动仲裁给了一份不予受理通知书！我于2017年3月7日起诉丰台法院，法院曾多次答复是，被告方拒收法院传票。在这期间工作单位打电话恐吓威胁我，说单位在法院有人！至今案子没有进展，打了查询电话，一直就说在审理中，我不知道案子是否有期限？像我这样的平民百姓，没权没势的是否可以还我一个公平公正的说法？,辞退解雇
劳务纠纷——您好，我想咨询关于劳务方面，我在为公司服务期间，没有签订劳动合同，并有11个月未缴纳统筹,劳动合同
律师事务所拖欠工资——我是今年才毕业的学生，在重庆两江新区的某律所应聘的法务专员，8.22面试，基本工资2000每周报销车费。8.23正式入职，9.25辞职。辞职后我一直询问什么时候发工资，主管以我未做满一个月为由拒发工资。也找过劳动局，也没有用。,辞退解雇
紧急求助，我16年受朋友所托，给一家基金公司代理法人，说是代理期是，8月到11月份，但是今年，法人还是没有改变过来，让他去改，总是托词，我该怎么办——紧急求助，我16年受朋友所托，给一家基金公司代理法人，说是代理期是，8月到11月份，但是今年，法人还是没有改变过来，让他去改，总是托词，我该怎么办,未知
企业改制职工安置补偿问题——你好，我是安徽涡阳县百货大楼的一名下岗职工，我们百货大楼属于国营企业。目前涡阳县政府要对百货大楼进行改制，请问，我们百货大楼100多人的安置问题，按照国家的相关文件精神是怎样的安置方法？谢谢,员工权益
新疆喀什月星锦江国际酒店拖欠员工劳动报酬——1、新疆喀什月星锦江国际酒店拖欠员工劳动报酬长达一年半，员工多次协商索要，领导蛮狠不讲理；2、酒店因管理失误，导致16年6个月的劳动报酬备销售部总监利用职务之便据为己有；3、10月份给员工强行制定任务，要求员工将6只大闸蟹卖988元，20盒的任务完不成不发工资!求救相关部门解决此事,员工权益
销售员工被开除工资问题——销售岗位，没有签订劳动合同，只有一份考核方案（第一个月有底薪，第二月起有销售任务），没有签字，因为团队初期，业务不好做，老板口头承诺保障员工底薪，现在公司以业绩不好为由解散团队，后派总公司员工来此，名为解散，实为开除，第二个月起的工资还能要回来吗？被解散，公司应该有补偿吗？,辞退解雇
劳动纠纷——签有劳动合同，公司在一次全厂休息时让回家休息，现在其他人员都上班了，不让我们去上班，还没有生活补助,辞退解雇
患病期间被公司辞退应如何维权？——您好！本人在体检时发现血液异常，后经诊断为慢性粒细胞白血病，请病假时告知公司病情，而且和领导说过该病不影响正常的工作生活，公司却让我去办理离职。请问，公司的行为违反了劳动法哪些条例，我该如何维护自己的权利？,辞退解雇
劳务纠纷——本人于2016.9.25正式入职，未签订任何合同，现于2017.9月中旬提出离职，对方不允，要求我必须干到11月中旬，从9.26-11.15日期间免费劳动，为其补偿17.4月送我出去学习的费用（9800），后经协商17.8.25-9.25工资不发，15号之前离职。17.10.4日告知对方10.12我离开，对方不允，找我协商，给我2个选择：1.按照第一次约定继续免费干到11.15号2.赔偿之前送我出去学习的损失。双方协商无果，对方要求走法律程序索要赔偿，听对方说有送我出去学习的转账记录，还有口头约定答应帮她1年的录音，本人只是初入社会者，什么经验饿也没有，所以没有任何录音证据，只有之前一起工作的同事可以证明我为其工作（我们没有签订任何合同）且那次学习我并不是乐意去的，有一定的原因是她想留住我，让我欠她人情，因为店里另外一姑娘马上要离职，店里就我一个人撑着人生第一次遇到这事，孤立无助，请求帮忙！,辞退解雇
拖欠工资是起诉老板个人还是起诉公司——拖欠工资是起诉老板个人还是起诉公司,维权方式
来自外地的农民工我该怎么办——我叫王用兵，家住四川省达州市.于2013年12月我经人介绍来到河南省洛阳xxxx工作.当时项目负责人xxx为我上面的老板，活干完后由于工资没结清的原因所以2014年在来讨要余下的两万元工资的时候他跟我商量让我继续跟他干另外一栋的主体活，他的理由是我们是四川人干活快再说他第一次干也算帮帮他一下.就这样我们当初达成口头协议每平方米150元计算负责钢筋.模版.混泥土.人工及各种小五金.我一再要求签订合同的情况下他总是以各种理由推脱一直没签，直道第一次付款他也按口头协议付了应该支付的20万元.我们口头协议是基础完工支付20万.到十三层支付80万余下到封顶付总工资的百分之九十.余下百分之十三个月付清、计算方式为其中基础算一层，屋面斜坡加半层，以图纸实际尺寸计算.我们民工按约定顶寒风、耐高温按期施工，保质保量地完成约定工期，而xx除基础部分支付20万元后，到十三封顶后他就说公司没钱，要我们停工讨薪，讨薪期间断断续续地支付工人工资50万元。直到春节，工地大老板xxx给xx支付民工工资75万元，xx悄悄卷走没给我们留下一分钱，致使几十余名工人无路费回家过春节，在万般无奈的情况下我不得不让家里贷款40万分给工人才不至于工人们露宿街头。过完年我们要求先发补发去年应该给我们的工资70余万元，xx答应先付40万，并当时当着工地项目经理xxx的面写了一张收条四十万，经理xxx也答应直接公司支付，于是我们不计前贤跟工人打电话说好话按期开工、可开工以后一段时间后又以各种理由想不给钱想让我知难而退，为了顾全大局，我向亲戚朋友四处借贷，支付工人工资、生活费、施工费用，可当主体封顶我去找xx算账时他除了让人给我对照了一下总共借支117万元后至今没有再给我一分钱。并且要挟我的工人不准说跟着我干的.直接说跟他干的不然一分钱也拿不到.迫于无奈工人只好昧着良心跟他作证.现如今我只有工人在我这里的借支凭证，工人与我的结算凭证.工人被强迫给他他作伪证的证言.我们到洛阳市劳动监察大队上告.我到工程项目部反映过多次无果，到老城区委反映过无数次，市信访局也去过，一直没有得到解决，今年我给市里写信、市里给我打电话让我去去由洛阳市公安局xx分局协助我这一事.我满以为我看到了希望.可xxx分局的局长对我说，你这事我们都知道是怎么一回事.也知道他明摆着是坑你.可你们没有合同我们也没有办法.再说xxx也不是什么好鸟.没事我们也不想去沾惹他.我一下子从山上跌倒谷底.难道我真的就只有死路一条了吗？,员工权益
我想问的是国企倒班人员法定节假日休带薪假是否扣假和扣钱？具体国家是怎么规定的？——我想问的是国企倒班人员法定节假日休带薪假是否扣假和扣钱？具体国家是怎么规定的？我工作单位的国企规定倒班人员要是法定节假日休带薪假，要扣带薪假，请问这方面国家是怎么规定的？,员工权益
感觉我们老板强行克扣我们。——我是一个销售人员6个月以前，我签了一笔大单子，合同的期限在1年之内有效，月底成功拿到了我的提成，但是在最近的时候，我签单的客户因为产品不利，而来我公司闹事要求退款，我们老板顶不住就把钱退给了人家，但是老板要求我当初拿到的提成归还给公司公司没有条例写着客户退款要归还提成的。,员工权益
单位强逼患癌员工从事不能从事的工作，这是霸王条款——因患癌且鉴定为丧失大部分劳动能力，单位并未另行安排岗位，被严严重违纪旷工开除，该员工请了假且也说明了情况。被严重违纪旷工开除合法吗？,辞退解雇
劳动咨询——你好，我于9月18号提交离职申请，后于9月20号离职。因突然离职，科室领导扣发8，9两个月奖金绩效，原因为没有提前一个月递交离职申请。但因未提前一个月递交离职申请。已经就此事按单位规定做出赔偿。科室领导这样做合理吗？8，9月两个月工作白做了？,辞退解雇
劳动法咨询——地点深圳南山，我9月初请假，领导安排同事拟定采购合同，9月13号同事在公司当面把公司已经盖章合同给到供应商，我12号开始上班，14号主动跟进合同进展，供应商回复公章老板出差带出无法盖章，15也有跟进，对方说老板没回来，16号17号周末，18号继续跟进，对方还是这样回复，我就电话给领导汇报了，19号供应商来公司说合同交期20号交不了货，要10月9号交货，现公司追责，说我没及时汇报，我想问下这合理吗？供应商合同两天没回签就要汇报吗？而且合同没回签公司领导是知道了，其中一个领导还去了供应商公司谈此事，老板也知道，另外老板还说我们不应该把盖章合同放在供应商那里，要面对面盖章，想问一下公司追责合法吗？,员工权益
劳动争议案件——请问律师大人：我是申请劳动合同二倍工资与社保赔偿、仲裁庭开庭前被申请人未作答辩，当庭提出我与被申诉人无劳动关系，并指出工资流水汇入账号与被申请人无相关，我厅后补充证据（公司罚款决定书）被仲裁拒绝，请问我该怎么办？,维权方式
索要文明奖——我是一名公务员，7月辞职，我是否可以领2016年文明奖,辞退解雇
离职劳动仲裁咨询——本人于离职前1周向公司申请离职，但公司没有明确回复，后公司以未交接清楚为由扣发本人工资和报销，请问工资是否涉嫌违法？（实际交接过程中，有交接明细表。事发月为6月，扣发的报销最久有3月报销，工资为6月当月的工资）,辞退解雇
我们做微商代理，上家扣押我们的押金——我们是在花红做微商代理，每个级别都要交押金。4月份退了代理授权，公司规定是申请退授权后3个月给退押金，但公司退到我上家手里，她不给我们了，公司现在也没有人管，我们很久都不在团队里了，也不知道找谁，3个人的押金共计5000元。,未知
劳动法——本人2012年二月工厂安排入厂体检时没有检查听力这一项，三月正式进入工厂上班，接触了一年半的噪声工位之后，公司又安排体检，这次体检有了听力检查这一项，左耳出现高频一直耳鸣至今，语频正常。2013年7月转岗喷漆工，也属于噪音工位，我现在感觉耳鸣越来越响了，越来越严重了。我想要求单位给我转到没有噪音伤害的岗位，但我不清楚这样会不会降低我的工资，因为不是噪音工位，不是有毒工位，工资待遇差距很大。还有就是可不可以与公司解除劳动合同，我合同还有二年到期，解除合同公司会赔偿我多少钱，在一个就是，我这耳鸣算职业病噪音聋吗？高频不正常语频正常，能职业病鉴定吗？谢谢,工伤事故
公司让社保缴费欠费——公司快一年都没有给社保缴费，屡次沟通都没用，总是一而再三的拖，这个怎么解决呢？,劳动保险
欠薪——02年入职公司，劳动保险已交12年，17年8月以调岗为名辞退，劳动保险未解除，9月保险已停交。截止现在欠薪9个月，索要无果。,辞退解雇
11年没有任何社保养老保险——在今年因为保险问题把我口头辞退。协勤11年。求助。15373272220,劳动保险
单位不提供信息，原告如何取？——职工提供单位工资单记载的年假信息，绩效奖文件和发放情况，不被原单位认可，同时也不给员工提供单位掌握的奖金信息、年假结余数目、计薪时段划分给法院，原告职工如何取证？,维权方式
到期无新合同，员工离职，有经济补偿吗？——劳动合同到期，公司不与员工签订新的劳动合同，也不与员工解除劳动合同，保持几年的劳动报酬不变，不管物价上涨、通胀因素，员工提出辞职的话，可以获得经济补偿吗？保持几年的劳动报酬不变，不管物价上涨、通胀因素，员工提出辞职的话，可以获得经济补偿吗？怎样维护员工的权益？,辞退解雇
公司搬迁，孕妇能得到什么样的赔偿？——公司搬迁，孕妇能得到什么样的赔偿？,员工权益
劳动法——公司属于教育培训行业，周末不休息，节假日不休息，每周休一天，总工作时长超过40小时，没有加班费和节假日几倍工资，算违法吗？公司在没有通知我的前提下，在我离职后告诉我要交住宿费，所以要扣除四百块钱合法吗？,员工权益
工厂少发工资——我是学生，暑假期间去江苏省苏州市昆山市金箭印刷公司打工，通过劳务公司鼎泰丰劳务派遣公司进入工厂但是工资少发了1447662809@qq.com,员工权益
工作时候出现工伤怎么办？——在外面打工，没有劳动合同也没有交保险，在工作期间从工作地点摔了下来，把软肋摔断了几根，现在有三根裂缝大一直没有愈合，需要手术愈合，现在手续费用最少需要5万元，公司好像也没有营业执照，而且现在公司不掏一分钱，我现在应该怎么办，怎样可以获得赔偿。,工伤事故
劳动维权——我爸在一间工厂工作了二十年，老板没有给我爸这几个工人签订劳动合同，也没买过任何保险，包括社会保险，小时候我天天看见爸爸都是半夜回来，也没有加班费，除了过年都没有休息，我奶奶前两个月去世了，请假还扣钱，请问我们农民工要怎样去维权？,劳动合同
孕期被公司停了保险——三年劳动合同，已经上了一年班，怀孕一个多月的时候向老总请假回家，原因是公司是新装修气味特别大医院医生建议休息而且两位同事同样怀孕一个月左右都因为公司新装修气味大向老总请假回家养胎公司一直为其交五险，老总答应五险一直帮我交到生孩子，可突然公司给我打电话说五险只能给我交三个月剩下每个月要自己掏钱，我都懵了，我辛辛苦苦在那里工作一年怀孕了请假我也没要工资保险为什么不给我交着，但是我同事都是公司给交到生我确定因为有比我怀孕早的一直帮她们交着呢，为什么到我这就这样了,劳动保险
公司未缴纳社保——我是17年4月去公司上班，公司是入职就买社保，因为没有毕业所以没有办法缴纳，在6月我拿到毕业证后就开始缴纳社保，并且也扣除了相应的个人费用，但是现在离职后，问人事，才告知没有缴纳社保的信息，我应该怎么维护自己的利益，谢谢,劳动保险
入职风险金工资问题——入职时口头协议交入职风险金3000元试用期3个月转正后退还，入职两个月未签劳动合同，个人原因离职，公司财务领导说只退风险金或者只能拿工资，违法吗？,辞退解雇
五险未交——由于单位未拖欠工资以及未及时缴纳社保养老等，协商9月补齐，现已到期仍未履行。现已辞职，请问要怎么解决？,劳动保险
领导和我要钱——我是（话工厂）包装员工，因为我的错误，造成1028个包装袋浪费，4000多成本价，公司罚款分厂，厂长，主任，段长，班长，我200，段长和我要钱，说让我给他200元,未知
应届毕业生就业问题，黑心企业——我朋友她在一家公司上班，工作了26天，没有签劳动合同，近几天老板突然要求每天21点才允许下班（10点上班），因为是独自租房的女生，提出了辞职，但是老板以未满一个月为由说不会给她发一分钱工资，请问我们该如何是好？,辞退解雇
拖欠装修款——我在成都做私人装修7年了，去年老婆的亲戚家说想让我们帮着装修，因为是比较亲的亲戚所以就没签合同。装修快完的时候就开始找麻烦说工期拖长了（确实拖了一段时间，但是之前征求过他们的意见，当时他家说没关系。）后来又说装修有问题，我们都一一给他处理了。16年年底入住了，到现在都还有3万装修尾款没给。对方表示不会给了！这种情况我该怎么处理？？,未知
给亲戚装修，尾款收不回来怎么办？——我在成都做私人装修7年了，去年老婆的亲戚家说想让我们帮着装修，因为是比较亲的亲戚所以就没签合同。装修快完的时候就开始找麻烦说工期拖长了（确实拖了一段时间，但是之前征求过他们的意见，当时他家说没关系。）后来又说装修有问题，我们都一一给他处理了。16年年底入住了，到现在都还有3万装修尾款没给。对方找各种理由拖欠，最近又表示不会给了！本来就没挣多少钱，还闹的很僵，这种情况我该怎么处理？,未知
劳动仲裁——我于2015年7月到公司上班，当时口头协定试用期3个月以及工资事项未涉及社保问题，之后由于各种原因在11月老板把公司转让，之后一直没签订劳动合同，并且没有购买社保，2016年2月起一直让人事找老板签合同，并明确当前工资制度，一直到5月未果，后2016年12月签订劳动合同，在2017年2月我由于家里有事不能继续到公司上班，在离职前与当前老板电话沟通，老板未表示同意或不同意，之后一直拖欠我2017年1月2月工资未发，询问老板娘答复我是擅自离职，工资以2016年1月即过年红包抵扣，询问劳动监察表示如果是擅自离职以离职当月20％工资作为处罚，现工资拖欠以超过半年，并在上月上网查询得知可以要求公司对未签订劳动合同期间即入职后第二个月开始的11个月工资予以赔偿拖延劳动合同签订，由于入职后的工资卡遗失只能出示2016年1月到11月工资卡流水记录（12月签订劳动合同没有拉）并要求公司补缴未缴纳社保月的社保或者要求公司赔偿未缴月份公司支付部分，由于本人持有劳动合同遗失无法出句是否可以要求公司提供劳动合同原件以及入职后的指纹打卡记录，并申请劳动仲裁,辞退解雇
申请劳动仲裁——我于2015年7月到公司上班，当时口头协定试用期3个月以及工资事项未涉及社保问题，之后由于各种原因在11月老板把公司转让，之后一直没签订劳动合同，并且没有购买社保，2016年2月起一直让人事找老板签合同，并明确当前工资制度，一直到5月未果，后2016年12月签订劳动合同，在2017年2月我由于家里有事不能继续到公司上班，在离职前与当前老板电话沟通，老板未表示同意或不同意，之后一直拖欠我2017年1月2月工资未发，询问老板娘答复我是擅自离职，工资以2016年1月即过年红包抵扣，询问劳动监察表示如果是擅自离职以离职当月20％工资作为处罚，现工资拖欠以超过半年，并在上月上网查询得知可以要求公司对未签订劳动合同期间即入职后第二个月开始的11个月工资予以赔偿拖延劳动合同签订，由于入职后的工资卡遗失只能出示2016年1月到11月工资卡流水记录（12月签订劳动合同没有拉）并要求公司补缴未缴纳社保月的社保或者要求公司赔偿未缴月份公司支付部分，由于本人持有劳动合同遗失无法出句是否可以要求公司提供劳动合同原件以及入职后的指纹打卡记录，并申请劳动仲裁。13857252710,辞退解雇
公司不申请破产，未交社保——公司2008年开始扣除社保但未给员工缴纳一直延续到2011年公司停产，停产后个人无法缴纳个人社保导致2011年底到2012年初产生的医疗费用无法报销，公司也不申请破产，还在偷偷变卖资产，如何维权,劳动保险
公司未如约履行合同，未给缴纳五险一金——您好，首先非常感谢能得到您的帮助。我需要帮助的问题是：我的工作单位要注销，我被辞退。我想要领取失业金，结果查询到我的保险都没有给我缴纳。2016年7月26日入职签订劳动合同，签订合同给缴纳五险一金，2017年8月13日被辞退。我在公司工作一年时间，每月工作都会扣除保险钱。可实际上保险并未给我缴纳上。公司把保险这块委托给第三方公司，替我们缴纳。第三方公司就保险事宜和我联系过，说我除了保险，其他保险都已经接上了（我以前缴纳过，需要办交接转入），可事实上我的保险并未给缴纳上。我这种情况应该怎么办？,劳动保险
劳动仲裁咨询——离职后公司一直以走流程为借口拖延支付工资及补偿金已经半个月了,辞退解雇
退休，养老保险——您好！我父亲是基层供销社员工，现在到了退休年龄，而养老保险只交了9年的，现在想退休，供销社说只能自己补了保险才能退，我想问一下，这个保险单位那部分供销社不承担吗？电话18536689139，邮箱405463004@qq.com,劳动保险
我父亲是不是得负全责呢——父亲承包了一个老板手下的地沟加工活，公司来了一些钢筋是给另一个工地用的，可是父亲手下有个女员工跑去帮忙了，我父亲并未叫她，然后指挥人雷厂长指挥失误造成那个女员工手指断了，吊车什么都是厂子的。老板找的人判的我父亲全责！,未知
工作工资问题——工作一个多月天天加班想辞职，经理说要等一个月招到人后才放我，可是没签劳动合同，可以提前走吗？,辞退解雇
劳动问题——没签合同，店面也关掉了，但是拖欠了部分工资，有工作服和工资条和同事人证，去告的时候被建议了法律援助，但援助说我们没有和老板的直接证据，这种情况我们还可以告吗,维权方式
单位变相裁员——单位最近效益不好，让我们自愿报名回家休息三个月，休息期间只给我们交保险，不给基本工资和生活费，不报名的话要按考试决定回家名额，而且不给我们任何书面保证，现在单位拖欠我们三个月的工资不发给我们，我们的五险一金也拖欠两个月没有给我们，刚到单位的时候缴纳的风险抵押金也不退还我们，我们该怎么办,辞退解雇
单位不发工资，现在要变相裁员——单位最近效益不好，让我们自愿报名回家休息三个月，休息期间只给我们交保险，不给基本工资和生活费，不报名的话要按考试决定回家名额，而且不给我们任何书面保证，现在单位拖欠我们三个月的工资不发给我们，我们的五险一金也拖欠两个月没有给我们，刚到单位的时候缴纳的风险抵押金也不退还我们，我们该怎么办,辞退解雇
"劳动者要求单位补缴社保受诉讼时效限制吗？——律师好，咨询一下，我2001年至今在的一公司上班，我最近查询发现公司2007年给我缴纳社保至今，我向公司，及社保局反映要求给我补缴2007年前未缴社保，公司和社保局不予理睬，向劳动监察投诉，劳动监察与时过两年不予查处。网上查阅一：最高人民法院《关于审理劳动争议案件适用法律若干问题的解释(二)》第2条规定，拖欠工资争议，劳动者申请仲裁时劳动关系仍然存续，用人单位以劳动者申请仲裁超过六十日为由主张不再支付的，法院不予支持。但是，缴纳基本养老等社会保险是用人单位的法定义务，具有强制性，不属于劳动者和用人单位之间单纯的“工资争议”，因为缴纳保险等社会保险费属于国家规定的强制性义务，即使劳动者不主张此项权利，国家有关部门也应当强制要求用人单位履行缴费义务。二:根据最高院民一庭庭长杜万华答记者问，《劳动仲裁法》确定了社会保险争议属于劳动争议，但是否应把所有的社会保险争议不加区别的纳入人民法院受案范围，确是一个在实践中争议广泛的问题，需要司法解释进一步明确。我们研究认为，用人单位、劳动者和社保机构就欠费等发生争议，是征收与缴纳之间的纠纷，属于行政管理的范畴，带有社会管理的性质，不是单一的劳动者与用人单位之间的社保争议。因此，对于那些已经由用人单位办理了社保手续，但因用人单位欠缴、拒缴社会保险费或者因缴费年限、缴费基数等发生的争议，应由社保管理部门解决处理，不应纳入人民法院受案范围。对于因用人单位没有为劳动者办理社会保险手续,且社会保险经办机构不能补办导致劳动者不能享受社会保险待遇,要求用人单位赔偿损失的,则属于典型的社保争议纠纷,人民法院应依法受理》。对此，我想请问一下，劳动者要求用人单位补繳社会保险也受时效限制吗？我应该怎样维权？谢谢。",劳动保险
请求办理退休——我在公司从九一年上班到现在，上班时焊工，到零八年有种种原因，回到公司物业上班。去年一到按特殊工种年龄。我向公司申请，公司不给办理，我该怎么办呢？（91年5月上班，是签的计划外合同工，连续几年都是在每年5月续合同，我也记不清了那年停了。在期间也断断续续交有养老金，养老金是01年后停的。）13598438271。,员工权益
怎么要回自己的血汗钱——你好我今年在北京房山卡芮宅配家具厂上班，每天工作九个小时，我从二月份去的，四月八号才签的合同，签合同的时候有一份入职申请书，上面有一条说私自离职工厂按私自旷工处理，然后扣工资，扣完为止，到时候在从公司除名，由于老板拖欠工资严重，我去辞职老板不批准，说私自离职没有工资，还说有本事去劳动局告，我被迫离职，在那个厂里我了解了去年由于拖欠工资有人去劳动局告都没有告下来，我去要工资去了好多次工厂，我后来去劳动局投诉，就给了一千多块钱，劳动局爱理不理的，我没办法又申请的劳动仲裁，请问劳动仲裁的时候，我还用请律师吗？如果要求工厂支付未签合同之前的双倍工资需要什么证据，还有工做九个小时要不要给加班费？需要什么证据？谢谢,辞退解雇
如何维权拿回工资——本人于2017年四月入职一个培训学校，商定工资为2500底薪＋500绩效＋提成。由于一系列原因，于2017年七月离职。离职之后向公司老总讨要工资至今，每次都是答复一个时间给工资然后又不了了之。至今本人并没拿到六月份以及直至七月中旬的薪资。一再打电话跟公司老总联系都是敷衍推脱。不止我一人是这样的情况，公司里面离职的员工都是这样，非常恶劣的行为。遇到这种情况我该怎么正确维权拿回我应得的工资呢,辞退解雇
辞职不了——我在厂里上班，有事要辞职，但是主管不给批辞职单，我走不了，如果我现在走，他不批辞职单，走一天扣一天工资，我该怎么办,辞退解雇
公司说辞职之后要两个月才发末月的工资——上个月下旬已经离职，工作内容不涉及任何财务上面的，当初入职时说是20号发工资，但是工作两个多月，每次都是恰好赶上周末，每次都是延迟一两天发，这个月也是，然而今天已经22号了，问了之前的经理，他说离职员工是要两个月之后才发工资的，我觉得这样很不妥，现在还等着钱交房租呢。我应该怎样最大化的争取回我的利益呢？,辞退解雇
劳动法——你好！我想问在一个单位连续工作十四年了是否可以享受同工同酬！,员工权益
合同及经济纠纷问题——未按照国家法定节假日进行工资补偿及社保交纳,劳动保险
兼职收押金——您好！我是一名在校大学生，暑期找了一份兼职工作，是做手工的，当时以技术指导费用收取了300押金，合同上写明做满600返还押金，可是做了一个暑假也才200不到，要求返还押金无果，当时签合同时还填有家庭住址、身份证号码等一系列信息，个人也比较担心他们用这些信息去做一些不法的事情，现在已经不要求返还押金了，但是特别害怕身份信息被泄露以至于出现什么大问题，请问遇到这种事该怎么办？,员工权益
产后降职降薪——本酒店工作九年，第一年未给缴纳保险，今年请产假四月十日产假回来由经理职务降至主管，因产假期间酒店增加提成工资一块，这样我现在领的工资和之前的经理工资差不多，但是现在经理工资也增长了提成工资，这样酒店是合法的吗？还有我们的工作是每周工作六天休一天，任职经理期间还另外每周增加夜班值班一天，这些都算是加班吧？而且我们酒店没有年休假，我现在不想再在本酒店继续工作，能得到哪些补偿吗？,员工权益
劳动纠纷——您好，谢谢您的指教我与公司于15年9月1日签订劳动合同，为期一年，与工资税前12000元，按照规定上社会保险。工资付已至16年1月中旬，1月底和三月初我还为公司去外地出差，差旅费是我垫付的（发票已上交公司，一直没有报销，各项报销合计数千元），16年7月2日公司趁周末放假时从公司营业地搬走，在和老板联系他一直推说他在联系新工程，一直不支付工资。1.现在是17年8月21日，我准备申请仲裁，这个过了诉讼时效了吗？2.如果没有过时效，我能申请支付那些钱，都是多少呢？3.公司现在收钱都用的私人账户，根本不用公司的帐，承接工程也是以别人的名义，他家消费特别高，孩子都在国外，可就是公司账上没钱我该怎么办、最后谢谢您认真的看完并给与指导，在此对您表示感谢。,维权方式
劳动争议仲裁申请的贡多有多少——您好，我遇到的问题希望您能帮到我我与公司于15年9月1日签订合同，月工资税前12000元，承诺上保险，15年1月付完工资后一直没有给工资，保险也一直没有上。至16年7月2日公司趁周末休息时从办公地搬走，以后一直推说老板在找工程让我们在家等消息，现在是17年8月21日，我能申请劳动仲裁吗能的话申请书上我应该我应该申请的权利都有哪些费用是多少？还有老板在公司的账户上一直没有钱，他收入都走的是他老婆的个人卡，他现在承接工程都是以别人的名义干的，收起那也不过公司的账户，这个怎么办,劳动保险
国企私家车进入厂区问题!——国有企业工厂不让工人私家车入厂，只有科级以上才能入厂，是否违法,员工权益
矽肺三期——律师您好，我父亲是北京市一名煤矿工人，患有三期矽肺，与单位签订了10年制合同，到期单位辞退，13年取得工伤一级证书，开始享有津贴待遇，现因矽肺病去世，请问我父亲的这种情形是否属于工亡，家人可以得到那些赔偿，恳求相关的法律条文，谢谢！,工伤事故
老板意外死亡——我在工地给二包老板做水电工。上个月底老板出了交通事故，老板意外死亡，还差我13800元工资，我去找总承包建筑公司，公司给我的回复是，已经给足了工程款给我们老板。请问我该找谁要回我的工资。,员工权益
养老保险——日本独资企业老板跑了，在新公司上班了，养老保险转不出来怎么办，说原单位不能空户！,劳动保险
家中女儿意外身亡——你好，我女儿她在放假期间出了事故，工作地方只给了六个月的工资给我们，这样是不是太少了？才一万多块，我女儿在那个工厂做了差不多三年了,工伤事故
中间人是否有责任？——一项大工程人员不足，然后让中间人给他找人，找的员工在该工地干了三天左右在非工作时间在工地上意外死亡。当初中间人和他定的口头合同是每天给他80块钱，让他接送其他员工上下班，就在发生意外的当天，该员工中午没回家，并且和其他几个员工在饭店吃了饭，还一人喝了一瓶啤酒，可能是由于中午太热的原因，该员工和另一名员工在工地上危险地带脱衣洗澡，另一名员工幸运得救，而他最终溺水身亡，针对该事件，中间人是否需承担责任？,工伤事故
